Room No,"  ลักษณะของความเสียหายที่พบ (เลือกได้มากกว่า 1 ข้อ)  
Types of damage found (more than one option may be selected)",Image Link,Damage Types
1004,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1KnteaPi5cwJDFiUOHYOVtv0s5-c3-Z1N, https://drive.google.com/open?id=1BwghrE5cJIOn5JHYwsACpYSfZKvqV4ii, https://drive.google.com/open?id=1Qeaq9UaFPQnpZ9JGGTDhxmD2-T95MzXl, https://drive.google.com/open?id=1Bkb4ICMvcBczzF6MZ-IWNZGqrZy69TTK, https://drive.google.com/open?id=13PQJqMGddhi5x63gRUIwss8DYQqPIbgq, https://drive.google.com/open?id=15PkEN-tktpDOlrJ9yCUjAQf4HrJKxeYy",เพดานหลุด/แตกร้าว  Ceiling falling/cracked
1004,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1KnteaPi5cwJDFiUOHYOVtv0s5-c3-Z1N, https://drive.google.com/open?id=1BwghrE5cJIOn5JHYwsACpYSfZKvqV4ii, https://drive.google.com/open?id=1Qeaq9UaFPQnpZ9JGGTDhxmD2-T95MzXl, https://drive.google.com/open?id=1Bkb4ICMvcBczzF6MZ-IWNZGqrZy69TTK, https://drive.google.com/open?id=13PQJqMGddhi5x63gRUIwss8DYQqPIbgq, https://drive.google.com/open?id=15PkEN-tktpDOlrJ9yCUjAQf4HrJKxeYy",กระเบื้องหลุด/แตก  Tile loose/broken
1409,ผนังแตกร้าว  / Cracked wall,,ผนังแตกร้าว  / Cracked wall
1505,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture","https://drive.google.com/open?id=1TNqAeivRNURP06UH3zafd-oScqoHlw78, https://drive.google.com/open?id=1MsUeaRuZxhfRXTBtd59ydpVs1XG2ccN_, https://drive.google.com/open?id=1GNduRAQyatRH7V60mv1LMAAztIGyoWor, https://drive.google.com/open?id=1-YeO-6Bn1luNc06eHRl5HWkVbsL5Y46c, https://drive.google.com/open?id=18ALDZTblJ0EwBSdZ_L3xf10av45X3Pre, https://drive.google.com/open?id=1rI2sjSIR6pH2tr0JfCTDByCyt6Zz1BTj, https://drive.google.com/open?id=1ile2Gs0MpTuM2v77DQ3uRI-fXzzmCGRY, https://drive.google.com/open?id=1NMZ1sZsGrwlsOJWgYIsANW-qZUysuys_",ผนังแตกร้าว  / Cracked wall
1505,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture","https://drive.google.com/open?id=1TNqAeivRNURP06UH3zafd-oScqoHlw78, https://drive.google.com/open?id=1MsUeaRuZxhfRXTBtd59ydpVs1XG2ccN_, https://drive.google.com/open?id=1GNduRAQyatRH7V60mv1LMAAztIGyoWor, https://drive.google.com/open?id=1-YeO-6Bn1luNc06eHRl5HWkVbsL5Y46c, https://drive.google.com/open?id=18ALDZTblJ0EwBSdZ_L3xf10av45X3Pre, https://drive.google.com/open?id=1rI2sjSIR6pH2tr0JfCTDByCyt6Zz1BTj, https://drive.google.com/open?id=1ile2Gs0MpTuM2v77DQ3uRI-fXzzmCGRY, https://drive.google.com/open?id=1NMZ1sZsGrwlsOJWgYIsANW-qZUysuys_",เพดานหลุด/แตกร้าว  Ceiling falling/cracked
1505,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture","https://drive.google.com/open?id=1TNqAeivRNURP06UH3zafd-oScqoHlw78, https://drive.google.com/open?id=1MsUeaRuZxhfRXTBtd59ydpVs1XG2ccN_, https://drive.google.com/open?id=1GNduRAQyatRH7V60mv1LMAAztIGyoWor, https://drive.google.com/open?id=1-YeO-6Bn1luNc06eHRl5HWkVbsL5Y46c, https://drive.google.com/open?id=18ALDZTblJ0EwBSdZ_L3xf10av45X3Pre, https://drive.google.com/open?id=1rI2sjSIR6pH2tr0JfCTDByCyt6Zz1BTj, https://drive.google.com/open?id=1ile2Gs0MpTuM2v77DQ3uRI-fXzzmCGRY, https://drive.google.com/open?id=1NMZ1sZsGrwlsOJWgYIsANW-qZUysuys_",กระเบื้องหลุด/แตก  Tile loose/broken
1505,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture","https://drive.google.com/open?id=1TNqAeivRNURP06UH3zafd-oScqoHlw78, https://drive.google.com/open?id=1MsUeaRuZxhfRXTBtd59ydpVs1XG2ccN_, https://drive.google.com/open?id=1GNduRAQyatRH7V60mv1LMAAztIGyoWor, https://drive.google.com/open?id=1-YeO-6Bn1luNc06eHRl5HWkVbsL5Y46c, https://drive.google.com/open?id=18ALDZTblJ0EwBSdZ_L3xf10av45X3Pre, https://drive.google.com/open?id=1rI2sjSIR6pH2tr0JfCTDByCyt6Zz1BTj, https://drive.google.com/open?id=1ile2Gs0MpTuM2v77DQ3uRI-fXzzmCGRY, https://drive.google.com/open?id=1NMZ1sZsGrwlsOJWgYIsANW-qZUysuys_",ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows
1505,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture","https://drive.google.com/open?id=1TNqAeivRNURP06UH3zafd-oScqoHlw78, https://drive.google.com/open?id=1MsUeaRuZxhfRXTBtd59ydpVs1XG2ccN_, https://drive.google.com/open?id=1GNduRAQyatRH7V60mv1LMAAztIGyoWor, https://drive.google.com/open?id=1-YeO-6Bn1luNc06eHRl5HWkVbsL5Y46c, https://drive.google.com/open?id=18ALDZTblJ0EwBSdZ_L3xf10av45X3Pre, https://drive.google.com/open?id=1rI2sjSIR6pH2tr0JfCTDByCyt6Zz1BTj, https://drive.google.com/open?id=1ile2Gs0MpTuM2v77DQ3uRI-fXzzmCGRY, https://drive.google.com/open?id=1NMZ1sZsGrwlsOJWgYIsANW-qZUysuys_",เฟอร์นิเจอร์เสียหาย  / Damaged furniture
1616,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1VEWbtvhGDYSOFG0vF5hfnzWZa_MOfsep, https://drive.google.com/open?id=1IDvOt-GyBNDnuDhk6B7V8T0vh2bE55qY, https://drive.google.com/open?id=1YwyApU8kvtnx4zyG1MdamDzgk03xTIyb, https://drive.google.com/open?id=1jExMJsI19OWsSB31zH7mzAlMXFp0yCD0, https://drive.google.com/open?id=15UNnfnoo2nH_vdGxEien40vCXSFYFVb_, https://drive.google.com/open?id=1GunYn_zDM7aTrHdzGpLZ1MKgKfXKfd2D, https://drive.google.com/open?id=10iJdoK9mhvPz95VbX7oeZJtZ3ibwcrXN, https://drive.google.com/open?id=1VoUFksCxV1SROVlUSk1pxUQ_C5J-bzHe, https://drive.google.com/open?id=1IpvX7b5hbMmXpUJAGnmRfxgpBcgQGTl6, https://drive.google.com/open?id=1bHFkaS4t2Tb4ajxCK5UACifk-iiSPf9j",ผนังแตกร้าว  / Cracked wall
1616,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1VEWbtvhGDYSOFG0vF5hfnzWZa_MOfsep, https://drive.google.com/open?id=1IDvOt-GyBNDnuDhk6B7V8T0vh2bE55qY, https://drive.google.com/open?id=1YwyApU8kvtnx4zyG1MdamDzgk03xTIyb, https://drive.google.com/open?id=1jExMJsI19OWsSB31zH7mzAlMXFp0yCD0, https://drive.google.com/open?id=15UNnfnoo2nH_vdGxEien40vCXSFYFVb_, https://drive.google.com/open?id=1GunYn_zDM7aTrHdzGpLZ1MKgKfXKfd2D, https://drive.google.com/open?id=10iJdoK9mhvPz95VbX7oeZJtZ3ibwcrXN, https://drive.google.com/open?id=1VoUFksCxV1SROVlUSk1pxUQ_C5J-bzHe, https://drive.google.com/open?id=1IpvX7b5hbMmXpUJAGnmRfxgpBcgQGTl6, https://drive.google.com/open?id=1bHFkaS4t2Tb4ajxCK5UACifk-iiSPf9j",เพดานหลุด/แตกร้าว  Ceiling falling/cracked
